match_number,home_team,away_team,headline,home_key_players,away_key_players,main_storyline,primary_reason,data_status
1,Mexico,South Africa,Mexico vs South Africa,"Edson Álvarez, Hirving Lozano, Santiago Giménez",curated key players unavailable,"Mexico bring qualified-team storyline and key-player watch, led by Edson Álvarez, Hirving Lozano, Santiago Giménez. South Africa bring qualified-team storyline and key-player watch, led by curated key players unavailable. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
2,South Korea,Czechia,South Korea vs Czechia,"Son Heung-min, Kim Min-jae, Lee Kang-in","Patrik Schick, Tomáš Souček","South Korea bring qualified-team storyline and key-player watch, led by Son Heung-min, Kim Min-jae, Lee Kang-in. Czechia bring qualified-team storyline and key-player watch, led by Patrik Schick, Tomáš Souček. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
3,Canada,Bosnia and Herzegovina,Canada vs Bosnia and Herzegovina,"Alphonso Davies, Jonathan David","Edin Džeko, Miralem Pjanić","Canada bring qualified-team storyline and key-player watch, led by Alphonso Davies, Jonathan David. Bosnia and Herzegovina bring qualified-team storyline and key-player watch, led by Edin Džeko, Miralem Pjanić. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
4,USA,Paraguay,USA vs Paraguay,"Christian Pulisic, Weston McKennie, Antonee Robinson","Julio Enciso, Miguel Almirón","USA bring host-nation energy and transition athletes, led by Christian Pulisic, Weston McKennie, Antonee Robinson. Paraguay bring qualified-team storyline and key-player watch, led by Julio Enciso, Miguel Almirón. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
5,Qatar,Switzerland,Qatar vs Switzerland,"Akram Afif, Almoez Ali","Granit Xhaka, Manuel Akanji","Qatar bring qualified-team storyline and key-player watch, led by Akram Afif, Almoez Ali. Switzerland bring qualified-team storyline and key-player watch, led by Granit Xhaka, Manuel Akanji. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
6,Brazil,Morocco,Brazil vs Morocco,"Vinícius Júnior, Raphinha, Neymar","Achraf Hakimi, Sofyan Amrabat, Brahim Díaz","Brazil bring individual wing threat and attacking flair, led by Vinícius Júnior, Raphinha, Neymar. Morocco bring full-back power and compact tournament structure, led by Achraf Hakimi, Sofyan Amrabat, Brahim Díaz. Watch it for two strong player pools, clear star power, competitive balance.",two strong player pools; clear star power; competitive balance,curated_group_stage_storyline_not_official
7,Haiti,Scotland,Haiti vs Scotland,curated key players unavailable,"Andy Robertson, John McGinn, Scott McTominay","Haiti bring qualified-team storyline and key-player watch, led by curated key players unavailable. Scotland bring qualified-team storyline and key-player watch, led by Andy Robertson, John McGinn, Scott McTominay. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
8,Australia,Türkiye,Australia vs Türkiye,curated key players unavailable,"Arda Güler, Hakan Çalhanoğlu, Kenan Yıldız","Australia bring qualified-team storyline and key-player watch, led by curated key players unavailable. Türkiye bring qualified-team storyline and key-player watch, led by Arda Güler, Hakan Çalhanoğlu, Kenan Yıldız. Watch it for competitive balance.",competitive balance,curated_group_stage_storyline_not_official
9,Germany,Curaçao,Germany vs Curaçao,"Jamal Musiala, Florian Wirtz, Joshua Kimmich",curated key players unavailable,"Germany bring technical creators and tournament experience, led by Jamal Musiala, Florian Wirtz, Joshua Kimmich. Curaçao bring qualified-team storyline and key-player watch, led by curated key players unavailable. Watch it for group-stage stakes and contrast of styles.",group-stage stakes and contrast of styles,curated_group_stage_storyline_not_official
10,Netherlands,Japan,Netherlands vs Japan,"Virgil van Dijk, Frenkie de Jong, Cody Gakpo","Kaoru Mitoma, Takefusa Kubo, Wataru Endo","Netherlands bring defensive leadership and midfield control, led by Virgil van Dijk, Frenkie de Jong, Cody Gakpo. Japan bring qualified-team storyline and key-player watch, led by Kaoru Mitoma, Takefusa Kubo, Wataru Endo. Watch it for two strong player pools, clear star power, competitive balance.",two strong player pools; clear star power; competitive balance,curated_group_stage_storyline_not_official
