country,player_name,display_name,position,role_group,sub_role,club_reference,fan_importance,expected_role,priority_tier,selection_status,source_type,last_updated,notes
Algeria,Riyad Mahrez,Riyad Mahrez,Forward,Winger,Right winger,Al Ahli,9,Key attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Algeria,Ismaël Bennacer,Ismaël Bennacer,Midfielder,Midfielder,Central midfielder,AC Milan,8,Midfielder,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Algeria,Amine Gouiri,Amine Gouiri,Forward,Forward,Forward,,7,Forward option,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Algeria,Houssem Aouar,Houssem Aouar,Midfielder,Attacking Midfielder,Creator,,7,Creative midfielder,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Algeria,Ramy Bensebaini,Ramy Bensebaini,Defender,Defender,Left-back / centre-back,Borussia Dortmund,7,Defender,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Argentina,Lionel Messi,Lionel Messi,Forward,Attacking Midfielder,Creator / forward,Inter Miami,10,Global star,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Argentina,Emiliano Martínez,Emiliano Martínez,Goalkeeper,Goalkeeper,Goalkeeper,Aston Villa,9,Goalkeeper leader,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Argentina,Julián Álvarez,Julián Álvarez,Forward,Striker,Forward,Atlético Madrid,9,Key attacker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Argentina,Lautaro Martínez,Lautaro Martínez,Forward,Striker,Striker,Inter,9,Key striker,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Argentina,Alexis Mac Allister,Alexis Mac Allister,Midfielder,Midfielder,Central midfielder,Liverpool,8,Key midfielder,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Argentina,Cristian Romero,Cristian Romero,Defender,Defender,Centre-back,Tottenham Hotspur,8,Defensive leader,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Argentina,Enzo Fernández,Enzo Fernández,Midfielder,Midfielder,Central midfielder,Chelsea,8,Key midfielder,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Argentina,Rodrigo De Paul,Rodrigo De Paul,Midfielder,Midfielder,Box-to-box midfielder,Atlético Madrid,8,Experienced midfielder,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Australia,Harry Souttar,Harry Souttar,Defender,Defender,Centre-back,,7,Defender,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Australia,Jackson Irvine,Jackson Irvine,Midfielder,Midfielder,Midfielder,,7,Midfield leader,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Australia,Mathew Ryan,Mathew Ryan,Goalkeeper,Goalkeeper,Goalkeeper,,7,Goalkeeper leader,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Australia,Craig Goodwin,Craig Goodwin,Forward,Winger,Winger,,6,Attacker,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Australia,Riley McGree,Riley McGree,Midfielder,Midfielder,Attacking midfielder,,6,Midfielder,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Austria,David Alaba,David Alaba,Defender,Defender,Centre-back / left-back,Real Madrid,9,Defensive leader,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Austria,Konrad Laimer,Konrad Laimer,Midfielder,Midfielder,Central midfielder,Bayern Munich,8,Pressing midfielder,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Austria,Marcel Sabitzer,Marcel Sabitzer,Midfielder,Midfielder,Central midfielder,Borussia Dortmund,8,Midfield leader,A,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Austria,Christoph Baumgartner,Christoph Baumgartner,Midfielder,Attacking Midfielder,Attacking midfielder,RB Leipzig,7,Creator,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
Austria,Marko Arnautović,Marko Arnautović,Forward,Striker,Striker,Inter,7,Experienced striker,B,fan_key_player_not_official_squad,curated_fan_layer,2026-05-22,Use for fan-facing key-player logic. Not an official World Cup squad or starting XI.
